timestamp,role,org_size,industry,team_focus,storage_environment,orchestration,ai_usage_frequency,ai_helps_with,ai_adoption,modeling_approach,modeling_pain_points,architecture_trend,biggest_bottleneck,team_growth_2026,education_topic,industry_wish,region
50:54.5,Manager / Director / VP,< 50 employees,Tech,"Infrastructure / platform work, ML / AI",Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",AI embedded in most workflows,Mixed (depends on use case),None / modeling is going well,Lakehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,How much we need business context to be effective or we just become too risk averse which slows us down and leads to an unhealthy spiral!,United States / Canada
06:41.1,Analytics Engineer,"10,000+",Finance,"Data modeling / transformation, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,One Big Table,Hard to maintain over time,Lakehouse,Talent / hiring,Grow,Data modeling,,United States / Canada
08:52.7,Manager / Director / VP,200–999,Tech,"Data quality / reliability, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Daily,"Documentation / data discovery, Governance / quality checks",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Stay the same,Data modeling,,United States / Canada
09:25.0,Data Engineer,"10,000+",Tech,"Ingestion / pipelines, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",AWS Step function state machines,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Kimball-style dimensional modeling,"Hard to maintain over time, Pressure to “move fast”",Lakehouse,Legacy / technical debt,Not sure,Architecture patterns,Software engineering and data engineering are starting to merge. Software engineers need to understand data engineering tools and skills and vice versa. Leadership and hiring managers need to understand this.,United States / Canada
21:46.4,Analytics Engineer,< 50 employees,Finance,"Data modeling / transformation, Data quality / reliability, Analytics / BI",Cloud PostgreSQL/MySQL,Prefect,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",No meaningful adoption yet,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Stay the same,Data modeling,"Data ownership is politics. Data modeling in theory is too ideal. Data engineers are solving problems the upstream created, not really technical problems, political problems in a technical way. ",United States / Canada
25:20.7,Data Engineer,< 50 employees,Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Using AI for tactical tasks,Event-driven modeling,Tools don’t support good modeling,Centralized warehouse,Compute costs,Stay the same,Streaming / event-driven systems,,United States / Canada
34:57.3,Manager / Director / VP,"1,000–10,000",Manufacturing / Industrial,Analytics / BI,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,Documentation / data discovery,Experimenting,Kimball-style dimensional modeling,Lack of clear ownership,Data mesh / federated ownership,Legacy / technical debt,Stay the same,AI/LLM integration,,United States / Canada
50:55.6,Data Engineer,< 50 employees,Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Internal CRON Scheduler,Multiple times per day,"Documentation / data discovery, Data modeling",No meaningful adoption yet,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Talent / hiring,Grow,Data modeling,,United States / Canada
24:18.9,Data Architect,"10,000+",Manufacturing / Industrial,"Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Daily,"Documentation / data discovery, Architecture design",Using AI for tactical tasks,Ad-hoc / tables added as needed,Pressure to “move fast”,Lakehouse,Poor requirements / upstream issues,Grow,Semantics / ontologies / knowledge graphs,"Intentional data modeling patterns is the flywheel for data engineering, BI, and AI.",United States / Canada
26:55.6,Data Architect,< 50 employees,Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation, Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",No meaningful adoption yet,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Grow,Architecture patterns,"Industry should understand that data engineering isn't a one-time job, it a end-to-end practice to become data-driven then ai-driven. ",United States / Canada
43:32.7,Data Engineer,< 50 employees,Retail/e-commerce,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc)",No meaningful adoption yet,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Talent / hiring,Not sure,Data modeling,,Australia / New Zealand
45:39.1,Analytics Engineer,< 50 employees,Finance,"Data modeling / transformation, Infrastructure / platform work",On-prem data warehouse,Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Talent / hiring,Grow,AI/LLM integration,,Europe (EU / UK)
21:18.2,Data Engineer,200–999,Public sector / Education,Infrastructure / platform work,Mixed/hybrid,Cron,Weekly,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Grow,Streaming / event-driven systems,That source system quality directly effects everything downstream,Europe (EU / UK)
40:04.5,Data Architect,"1,000–10,000",Manufacturing / Industrial,"Data quality / reliability, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,Documentation / data discovery,No meaningful adoption yet,Mixed (depends on use case),Pressure to “move fast”,Data mesh / federated ownership,Legacy / technical debt,Not sure,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
48:51.9,Data Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Data modeling / transformation, Infrastructure / platform work, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Mixed (depends on use case),"Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Not sure,Data modeling,,Prefer not to say
03:46.8,Platform Engineer,"1,000–10,000",Public sector / Education,Infrastructure / platform work,On-prem data warehouse,Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Experimenting,No data modeling as platform team,None / modeling is going well,Data mesh / federated ownership,Poor requirements / upstream issues,Stay the same,Architecture patterns,It's more about maturity and ability to change than fancies tools.,Europe (EU / UK)
06:51.9,Data Engineer,50–199,Finance,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Kimball-style dimensional modeling,None / modeling is going well,Centralized warehouse,Lack of leadership direction,Not sure,AI/LLM integration,,Europe (EU / UK)
12:31.2,Data Architect,"10,000+",Finance,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability, Analytics / BI, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Control M,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,,Asia–Pacific
17:34.1,Manager / Director / VP,"1,000–10,000",Manufacturing / Industrial,"Data modeling / transformation, Fighting fires",Mixed/hybrid,"Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Documentation / data discovery, Governance / quality checks",Experimenting,Kimball-style dimensional modeling,"Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Stay the same,Semantics / ontologies / knowledge graphs,,Australia / New Zealand
21:48.6,ML Engineer / MLOps,"10,000+",Manufacturing / Industrial,"Data modeling / transformation, Data quality / reliability, Infrastructure / platform work, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Building internal AI platforms,Mainly Kimball,Lack of clear ownership,Data mesh / federated ownership,Tool complexity,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
31:00.7,Data Engineer,"1,000–10,000",Retail/e-commerce,"Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Ad-hoc / tables added as needed,"Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Grow,Data modeling,Data engineering is more than pipeline. ,Europe (EU / UK)
38:40.1,Data Engineer,200–999,Tech,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Bespoke .Net & Databricks Workflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",AI embedded in most workflows,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Compute costs,Grow,Streaming / event-driven systems,,Europe (EU / UK)
38:41.2,Analytics Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Get data analysts to contribute to data tables ,Stay the same,Semantics / ontologies / knowledge graphs,Technology is not an end. Bring all together stakeholders around the table to grow the business is the priority. ,Europe (EU / UK)
55:28.9,Data Engineer,"10,000+",Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc)",Experimenting,Kimball-style dimensional modeling,Pressure to “move fast”,Lakehouse,Legacy / technical debt,Not sure,Data modeling,,Europe (EU / UK)
59:12.7,Data Engineer,"10,000+",Tech,"Ingestion / pipelines, Fighting fires",Cloud PostgreSQL/MySQL,Airflow,Multiple times per day,"Documentation / data discovery, Governance / quality checks",AI embedded in most workflows,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Stay the same,Semantics / ontologies / knowledge graphs,Don’t ditch quality as it gives an impression of slowing things down - if it does then you need to find competent people (lack of quality is very often due to incompetence),Europe (EU / UK)
59:17.8,Analytics Engineer,"1,000–10,000",Manufacturing / Industrial,"Ingestion / pipelines, Fighting fires",Mixed/hybrid,Azure Data Factory (ADF),Weekly,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Canonical/semantic models,"Hard to maintain over time, Tools don’t support good modeling",Data mesh / federated ownership,Tool complexity,Stay the same,Streaming / event-driven systems,What goes in to achieving data quality,Europe (EU / UK)
06:27.1,Manager / Director / VP,< 50 employees,Tech,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability, Analytics / BI",On-prem data warehouse,"Dagster, ODI, pre-airflow custom built",Multiple times per day,"Documentation / data discovery, Data modeling, Architecture design",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Talent / hiring,Stay the same,Data modeling,"With data engineering, competitive advantage compounds through faster, safer adaptation and reliable decisions; without it, any advantage is temporary, fragile, and eventually self-sabotaged by bad data.",Europe (EU / UK)
13:33.7,Platform Engineer,< 50 employees,Healthcare,Infrastructure / platform work,Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc)",Experimenting,Ad-hoc / tables added as needed,None / modeling is going well,Lakehouse,Lack of leadership direction,Stay the same,Data modeling,It’s fundamental,Europe (EU / UK)
16:18.9,Data Engineer,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Dbt,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Canonical/semantic models,"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Legacy / technical debt,Grow,Streaming / event-driven systems,,Europe (EU / UK)
16:22.8,Platform Engineer,200–999,Finance,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Databricks,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Lack of business data competence,Stay the same,Semantics / ontologies / knowledge graphs,Data engineering suffers due to bad business modelling and low business integration,Europe (EU / UK)
19:29.4,Data Architect,"10,000+",Manufacturing / Industrial,Data quality / reliability,On-prem data warehouse,No orchestration / ad-hoc,Rarely,"Architecture design, Governance / quality checks",Experimenting,Canonical/semantic models,"Tools don’t support good modeling, Pressure to “move fast”",Data mesh / federated ownership,Legacy / technical debt,Stay the same,Architecture patterns,"Breaking Siloes is the core issue and the core solution, for architecture and data quality.",Europe (EU / UK)
44:33.2,Analytics Engineer,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Python and SSIS,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Experimenting,One Big Table,None / modeling is going well,Lakehouse,Lack of leadership direction,Stay the same,AI/LLM integration,DE part in the data and BI value chain,Australia / New Zealand
48:17.3,ML Engineer / MLOps,< 50 employees,Tech,"Ingestion / pipelines, Data quality / reliability, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Architecture design",Experimenting,Mixed (depends on use case),None / modeling is going well,Event-driven architecture,Talent / hiring,Shrink,Career growth / leadership,,Europe (EU / UK)
08:30.1,Data analyst,50–199,Public sector / Education,"Ingestion / pipelines, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",No meaningful adoption yet,Kimball-style dimensional modeling,Lack of clear ownership,Centralized warehouse,Poor requirements / upstream issues,Grow,Architecture patterns,,Europe (EU / UK)
10:21.1,Data Architect,200–999,Retail/e-commerce,"Ingestion / pipelines, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Build in databricks jobs,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Hard to maintain over time,Lakehouse,Tool complexity,Grow,Architecture patterns,,Europe (EU / UK)
17:30.7,Data Engineer,"1,000–10,000",Manufacturing / Industrial,Fighting fires,"Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”, AI tools produce inconsistent schemas",Lakehouse,Data quality,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
44:22.8,Data Engineer,200–999,Tech,"Ingestion / pipelines, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Architecture design",No meaningful adoption yet,Event-driven modeling,None / modeling is going well,Lakehouse,Legacy / technical debt,Grow,AI/LLM integration,,Asia–Pacific
06:16.7,Data Engineer,50–199,Tech,"Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Data quality,Grow,Semantics / ontologies / knowledge graphs,,Latin America
25:17.1,Analytics Engineer,200–999,Manufacturing / Industrial,"Ingestion / pipelines, Data modeling / transformation, Analytics / BI",On-prem data warehouse,Airflow,Weekly,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Mixed (depends on use case),Tools don’t support good modeling,Centralized warehouse,Legacy / technical debt,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
49:56.6,Data Engineer,200–999,Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Weekly,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Lack of leadership direction,Stay the same,AI/LLM integration,"You need to have solid data foundations - the basics that have been established for decades now: data quality, governance, appropriate modelling, consistent pipeline development approaches, solid operational structures and engineering practices in places (security, CI/CD, monitoring, alerting, finops, etc) - BEFORE deciding that you want to throw the AI bus into anything and everything, and expecting the LLM genie to get all your sheeeet gleaming up from nowhere just with the flick of a magic AI wand.",Europe (EU / UK)
55:13.5,Data Engineer,50–199,Retail/e-commerce,"Data modeling / transformation, Analytics / BI",Mixed/hybrid,"Various for different purposes. Domo internal, dbt orchestration, n8n, make",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time",Centralized warehouse,Legacy / technical debt,Grow,AI/LLM integration,It’s funner than what it looks like or sounds like. ,Australia / New Zealand
57:30.4,Data Architect,"1,000–10,000",Public sector / Education,"Data modeling / transformation, ML / AI",On-prem data warehouse,Airflow,Weekly,Documentation / data discovery,Experimenting,Mixed (depends on use case),Lack of clear ownership,"I would hope we would have a consistent architecture by now, but it pain me to say, there isn't. In my circle of influence I try to adopt Data Mesh/ federated ownership to tackle this beast en show a good practice.",Talent / hiring,Grow,"How to educate the next generation of bachelors to become Responsible data professionals, anything that helps with that, because foundational knowledge for this group is hard to get a hold of.","It is impossible to be compliant to EU regulation without a data engineering lifecycle. Any vendor that professes it can be solved with AI is a dreamer. Data processing = communication and understanding, otherwise it is just moving data. I could write an essay about it, and maybe in the future I will, but I think your manifesto on data modeling says enough for now.",Europe (EU / UK)
58:38.2,Manager / Director / VP,200–999,Finance,"Data modeling / transformation, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Rarely,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,Data modeling,,Europe (EU / UK)
09:38.4,"Head of Development, architect",< 50 employees,Tech,"Ingestion / pipelines, Data modeling / transformation",Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Canonical/semantic models,None / modeling is going well,Centralized warehouse,Talent / hiring,Grow,AI/LLM integration,The importance of modeling.,Europe (EU / UK)
11:12.2,Data Engineer,< 50 employees,Tech,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Rarely,"Writing Code (SQL, Python, etc)",No meaningful adoption yet,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Stay the same,Data modeling,I wish people would slow down with AI it stresses me. I just got a handle of how to code and build pipelines now it seems everything is put to work by AI ,Europe (EU / UK)
25:02.8,Data Engineer,"1,000–10,000",Finance,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Azure Data Factory,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Lakehouse,Talent / hiring,Grow,AI/LLM integration,,Asia–Pacific
32:36.2,Data Engineer,200–999,Tech,"Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Rarely,"Documentation / data discovery, I don't find AI helpful",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Shrink,Reliability engineering,,Latin America
23:35.6,Manager / Director / VP,50–199,Healthcare,"Data modeling / transformation, Data quality / reliability, Fighting fires",Mixed/hybrid,SSIS,Weekly,"Documentation / data discovery, Architecture design",No meaningful adoption yet,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time",Lakehouse,Legacy / technical debt,Stay the same,Architecture patterns,"Data pipelines are brittle, but they can be hardened with the right processes, tools, and people. The last part being extremely important. We need people who know the patterns of what works and what fails and why. I think AI struggles with this and it's amazing when you have a data engineer who has worked with many different data pipelines and can assess a situation and provide solutions that work and that are documented and they make their work approachable. They are not trying to be a hero, they are making their work reliable and approachable.",United States / Canada
25:17.3,Standards developer,< 50 employees,Healthcare,"Ingestion / pipelines, Data modeling / transformation",Mixed/hybrid,No orchestration / ad-hoc,Rarely,I don't find AI helpful,Experimenting,Canonical/semantic models,None / modeling is going well,Data mesh / federated ownership,Talent / hiring,Stay the same,Semantics / ontologies / knowledge graphs,More data does not necessarily mean better results/quality/etc.,Europe (EU / UK)
31:09.5,Data Engineer,50–199,Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",home made etl tool,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",No meaningful adoption yet,Kimball-style dimensional modeling,"Hard to maintain over time, Tools don’t support good modeling",Centralized warehouse,Legacy / technical debt,Stay the same,Data modeling,"We wear multiple hats, please be kind to us and pay us what we actually deserve. ",United States / Canada
59:15.1,Analytics Engineer,"1,000–10,000",Manufacturing / Industrial,"Data modeling / transformation, Analytics / BI",Mixed/hybrid,No orchestration / ad-hoc,Rarely,"Governance / quality checks, I don't find AI helpful",No meaningful adoption yet,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time",Lakehouse,Legacy / technical debt,Grow,Semantics / ontologies / knowledge graphs,The importance of a well defined use case.,United States / Canada
13:46.7,Data Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling",AI embedded in most workflows,Mixed (depends on use case),Hard to maintain over time,Centralized warehouse,Overengineering,Shrink,Career growth / leadership,Team dysfunction shapes pipelines more than technology,Asia–Pacific
51:13.4,Analytics Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery, Data modeling",Experimenting,Ad-hoc / tables added as needed,"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Grow,Data modeling,,Europe (EU / UK)
09:56.0,Analytics Engineer,"10,000+",Healthcare,"Ingestion / pipelines, Analytics / BI",Mixed/hybrid,Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time",Data mesh / federated ownership,Lack of leadership direction,Stay the same,Data modeling,"To get high quality results from data/automation, somebody has to manage the quality of your data. If an enterprise program for data quality doesn't exist you'll end up with the wild wild West some teams will do it well others won't.",United States / Canada
16:29.2,ML-DL Professor ,200–999,Public sector / Education,ML / AI,Mixed/hybrid,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Data modeling",AI embedded in most workflows,Kimball-style dimensional modeling,AI tools produce inconsistent schemas,Centralized warehouse,Data quality,Grow,Data modeling,--,Asia–Pacific
18:23.0,Analytics Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Data modeling / transformation, Analytics / BI",Mixed/hybrid,Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Kimball-style dimensional modeling,"Lack of clear ownership, Pressure to “move fast”",Event-driven architecture,Legacy / technical debt,Stay the same,AI/LLM integration,,United States / Canada
23:36.8,Analytics Engineer,"1,000–10,000",Manufacturing / Industrial,"Infrastructure / platform work, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Ad-hoc / tables added as needed,"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Lack of leadership direction,Not sure,Data modeling,It should be part of strategic conversations,Europe (EU / UK)
32:26.0,Manager / Director / VP,"1,000–10,000",Tech,Analytics / BI,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Mixed (depends on use case),None / modeling is going well,Centralized warehouse,Lack of leadership direction,Stay the same,Semantics / ontologies / knowledge graphs,"I think they understand, but a key improvement to products would be standards and better integration.  It's often painful to put the tools together that you need for your case when they don't talk to each other natively.",United States / Canada
45:16.5,Data Engineer,"10,000+",Finance,"Ingestion / pipelines, Data modeling / transformation, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling, Architecture design, Governance / quality checks",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Lack of leadership direction,Stay the same,Data modeling,Data Engineer doesn't mean Data Engineer+Data Architect+Infrastructure Engineer+Devops+Security& Governance Specialist,Europe (EU / UK)
36:32.7,Manager / Director / VP,"10,000+",Healthcare,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Rarely,"Documentation / data discovery, Architecture design",Experimenting,Kimball-style dimensional modeling,"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Grow,Architecture patterns,,United States / Canada
54:10.1,Data Analyst,50–199,Tech,"Ingestion / pipelines, Analytics / BI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Using AI for tactical tasks,Event-driven modeling,"Pressure to “move fast”, AI tools produce inconsistent schemas",Lakehouse,Lack of leadership direction,Stay the same,Reliability engineering,,United States / Canada
